年份,合同名称,主要标的名称,采购人,供应商,所属行业,合同金额num_万元,capacity_label,label_confidence,label_reason
2013,重庆市政府采购购销合同,,重庆市渝西中学,重庆东洋锅炉有限公司,其他未列明餐饮业,,coordination,0.1,默认分类（通用政府采购）
2013,合同,,九龙坡区共和小学,成都南方家俱有限公司,制造业,0.17,coordination,0.1,默认分类（通用政府采购）
2013,合同,,九龙坡区共和小学,沙坪坝区森达家具厂,木质家具制造,1.288,coordination,0.1,默认分类（通用政府采购）
2013,国家统计局浦城调查队尼康D7000套机(18-105mm)采购合同,,国家统计局浦城调查队,广州市恒锵数码产品有限公司,公共管理、社会保障和社会组织,,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2013,二圣镇中心学校食堂和门卫室电改造合同,,二圣中心学校,重庆西江建设（集团）有限公司,建筑业,2.99,coordination,0.6,"关键词匹配(E:0,C:1,P:1)"
2013,北碚区华光小学图书采购合同,,重庆市北碚区华光小学,重庆新华传媒有限公司北碚新华书店,教育,2.49339,compliance,0.75,"关键词匹配(E:0,C:0,P:1)"
2013,采购电脑,,兰桥镇,秀山柯龙数码科技有限公司,计算机、软件及辅助设备零售,0.856,coordination,0.1,默认分类（通用政府采购）
2013,教室、实验室、功能室设备追加,,重庆市北碚区状元小学,重庆商社信息科技有限公司,制造业,2.932,coordination,0.3333333333333333,"关键词匹配(E:0,C:1,P:1)"
2013,采购离子色谱仪,,重庆市北碚区疾控中心,重庆迈克科技公司,制造业,53.5,coordination,0.1,默认分类（通用政府采购）
2013,重庆市北碚区云政务(一期)项目监理,,重庆市北碚区信息中心,重庆联盛建设项目管理有限公司,居民服务、修理和其他服务业,26.9,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,全区体育健身路径维护,,九龙坡区体育局,重庆广亚体育设备制造有限公司,居民服务、修理和其他服务业,19.59,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:2)"
2013,公共场所创卫物资采购,,重庆市九龙坡区卫生健康综合行政执法支队,重庆祥福广告有限责任公司,制造业,13.521,coordination,0.1,默认分类（通用政府采购）
2013,C区电力增容,,重庆市九龙坡区人民医院,重庆拓展电力工程勘察设计有限公司,制造业,1.4,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,电消毒锅,,重庆市九龙坡区人民医院,山东新华医疗器械有限公司,制造业,30.0,coordination,0.1,默认分类（通用政府采购）
2013,全区体育健身器材采购,,九龙坡区体育局,九龙坡区凯锐特体育器材厂,制造业,7.119,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:2)"
2013,传染病防治创卫物资采购,,重庆市九龙坡区卫生健康综合行政执法支队,重庆祥福广告有限责任公司,居民服务、修理和其他服务业,14.95,coordination,0.1,默认分类（通用政府采购）
2013,全区体育健身路径维护,,九龙坡区体育局,重庆广亚体育设备制造有限公司,居民服务、修理和其他服务业,19.792,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:2)"
2013,完善国家农村义务教育薄弱学校改造市级项目“班班通”教室采购合同,无,重庆市綦江区教育信息技术与装备中心,綦江县互利电脑维修站,,6.7733,compliance,0.5,"关键词匹配(E:0,C:1,P:2)"
2013,环境应急设备采购合同,仪器设备,重庆市荣昌区环境保护局,重庆珍枫堂商贸有限公司,,4.6,coordination,0.4,"关键词匹配(E:0,C:2,P:2)"
2013,大湾电站增效扩容改造采购合同,电力电缆,重庆市万盛经济技术开发区水务局,重庆市南方阻燃电线电缆厂,,7.56757,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:0)"
2013,博物馆布展装饰工程,布展装饰工程,黑龙江中医药大学,黑龙江华鼎建筑集团有限公司,,530.240188,coordination,0.8,"关键词匹配(E:0,C:4,P:0)"
2013,和田地区墨玉县城镇垃圾收集清运系统建设项目的合同,和田地区墨玉县城镇垃圾收集清运系统建设项目,和田地区生态环境局墨玉县分局,濮阳市嘉得机械设备有限公司,,,coordination,0.4,"关键词匹配(E:0,C:2,P:2)"
2013,1,1,鹤岗市南山区住房和建设局,鹤岗市卓信人力资源外包服务有限公司,,0.51,coordination,0.1,默认分类（通用政府采购）
2013,团结幼儿园新光幼儿园建设项目监理,团结幼儿园新光幼儿园建设项目监理,包头市昆都仑区教育局,内蒙古星元建设监理有限公司,,29.205,coordination,0.8,"关键词匹配(E:0,C:4,P:0)"
2013,浦城县梦笔喜马拉雅有声图书馆（浦城县全民阅读城市书房二期）项目,音频节目制作和播控设备,浦城县图书馆,润物有声（福州）文化科技有限公司,,192.2175,compliance,0.5,"关键词匹配(E:0,C:1,P:2)"
2013,公务用车定点加油情况说明,车辆加油、添加燃料服务,四川省农业科学院遥感与数字农业研究所,中国石化销售股份有限公司四川成都石油分公司,,0.8,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,科左中旗政务服务中心聘用第三方专业机构服务,科左中旗政务服务中心聘用第三方专业机构服务,科尔沁左翼中旗政务服务局,北京思源同创科技有限责任公司,,164.42,coordination,0.1,默认分类（通用政府采购）
2013,河日木特村现代化养牛及棚舍建设养殖项目,河日木特村现代化养牛及棚舍建设养殖项目,霍林郭勒市达来胡硕苏木,霍林郭勒市利民建筑安装有限责任公司,,280.8135,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:0)"
2013,江门市公安局视频综合应用平台建设合同（补录）,江门市公安局视频综合应用平台建设项目,江门市公安局,广东仟张信息技术有限公司,,198.68,coordination,0.4,"关键词匹配(E:0,C:2,P:2)"
2013,晋中学院新校区施工合同,工程,晋中学院,山西金环涂装有限公司,,,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:0)"
2013,佛山市南海区医院管理中心互联网接入服务定点议价采购合同,网络接入服务,佛山市南海区医院管理中心,中国移动通信集团广东有限公司佛山分公司,,0.48,coordination,0.5,"关键词匹配(E:0,C:2,P:1)"
2013,广东省惠州市博罗县龙华镇卫生院审计服务定点议价采购合同,审计服务,广东省惠州市博罗县龙华镇卫生院,惠州市天泓会计师事务所（普通合伙）,,0.8,extractive,0.5,"关键词匹配(E:2,C:0,P:1)"
2013,太原理工大学新校区图书馆主体施工工程,工程尾款,太原理工大学,中铁十二局集团建筑安装工程有限公司,,,coordination,0.6,"关键词匹配(E:0,C:3,P:1)"
2013,兰州市外国语高级中学2023年学校物业服务采购项目,学校物业服务,兰州市外国语高级中学,甘肃天翔物业管理有限责任公司,,70.8158,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:2)"
2013,乐山市公路应急抢险中心改造项目,乐山市公路应急抢险中心改造项目,乐山市公路建设服务中心,四川云禧建筑工程有限公司,,161.251258,coordination,0.5714285714285714,"关键词匹配(E:0,C:4,P:2)"
2013,采购合同,A4黑白打印机,石棉县永和乡人民政府,石棉县嘉诚科技经营部,,0.11,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2014,政府采购合同,,徽县环境保护局,成都新红鹰家具有限公司,租赁和商务服务业,218130.0,coordination,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2014,合同书,,徽县教育局,甘肃晨熙实验器材有限公司,教育,2966400.0,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2014,徽县教育局2014年改薄设备采购合同,,徽县教育局,天水兴龙电子有限公司,教育,3099600.0,compliance,0.6,"关键词匹配(E:0,C:1,P:1)"
2014,酒泉市公安局交通警察支队高速一大队营房改造及车管所卫生间改造采购项目,,酒泉市公安局交通警察支队,酒泉市鹏程建筑工程有限公司,房屋建筑业,59.77,coordination,0.625,"关键词匹配(E:0,C:3,P:2)"
2014,康县茶叶科技开发中心科技富民强县采购项目（第二包）,,康县茶叶科技开发中心,陕西泓亚商贸有限公司,农、林、牧、渔业,79900.0,coordination,0.1,默认分类（通用政府采购）
2014,陇南市实验小学人造草坪运动场采购项目,,陇南市实验小学,扬州云飞教学设备有限公司,教育,0.0,compliance,0.8,"关键词匹配(E:0,C:0,P:2)"
2014,现址临时专线,,中央电视台,中国有限电视网络有限公司,文化、体育和娱乐业,5.4,coordination,0.1,默认分类（通用政府采购）
2014,望远镜机械系统,,中国科学院上海天文台,中科院南京耐尔思光电仪器有限公司,制造业,75.0,coordination,0.1,默认分类（通用政府采购）
2014,EMC屏蔽系统和微波吸收材料,,中国科学院上海天文台,常州雷宁电磁屏蔽设备有限公司,制造业,112.0,coordination,0.1,默认分类（通用政府采购）
2014,望远镜发射接收光学系统：激光器,,中国科学院上海天文台,大恒新纪元科技股份有限公司,制造业,75.0,coordination,0.1,默认分类（通用政府采购）
2014,吉林省国家税务局国际税多功能一体机,,国家税务总局,吉林省华威惠通科技有限公司,批发和零售业,0.85,extractive,0.5,"关键词匹配(E:1,C:0,P:0)"
2014,国税系统批量集中采购合同,,龙州县国家税务总局,北京联盛瀚海科技有限公司,批发和零售业,1.17,coordination,0.1,默认分类（通用政府采购）
2014,湖北省孝感市国家税务局A3打印机采购合同,,湖北省孝感市国家税务局,北京联盛瀚海科技有限公司,公共管理、社会保障和社会组织,0.39,compliance,0.4,"关键词匹配(E:1,C:1,P:0)"
2014,湖北省孝感市国家税务局网络存储采购合同,,湖北省孝感市国家税务局,武汉联创电脑有限公司,公共管理、社会保障和社会组织,19.3,compliance,0.4,"关键词匹配(E:1,C:1,P:0)"
2014,湖北省孝感市国家税务局服务器采购合同,,湖北省孝感市国家税务局,武汉联创电脑有限公司,公共管理、社会保障和社会组织,28.5,compliance,0.5,"关键词匹配(E:1,C:0,P:0)"
2014,标校天线组件-发射天线,,中国科学院上海天文台,北京齐天昆仑微波测控技术有限公司,制造业,66.0,coordination,0.1,默认分类（通用政府采购）
2014,云南省昆明市盘龙区国家税务局2015年度汽车维修和保养服务采购合同,,云南省昆明市盘龙区国家税务局,昆明全凯汽车服务有限公司,汽车修理与维护,15.0,extractive,0.3333333333333333,"关键词匹配(E:1,C:1,P:0)"
2014,技术服务合同,,松辽水利委员会察尔森水库管理局,吉林松辽水利水电咨询有限责任公司,水利、环境和公共设施管理业,5.91,coordination,0.1,默认分类（通用政府采购）
2014,沂沭泗局直管重点工程监控及自动控制系统项目建设承包合同,,沂沭泗水利管理局水情通信中心,中国普天信息产业股份有限公司,水利、环境和公共设施管理业,1911.989,coordination,0.5,"关键词匹配(E:0,C:2,P:1)"
2014,模型黄河试验基地综合试验楼修缮,,黄河水利委员会黄河水利科学研究院,河南省康泰建筑工程有限公司,农、林、牧、渔业,167.67,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2014,黄河托克托以下重点区域GPS控制网测量,,黄河水利委员会移民局,黄河勘测规划设计有限公司,水利、环境和公共设施管理业,600.0,coordination,0.1,默认分类（通用政府采购）
2014,全国水利发展“十三五”规划,,黄河水利委员会移民局,黄河勘测规划设计有限公司,水利、环境和公共设施管理业,83.0,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:0)"
2014,庆阳市西峰区显胜乡毛寺村居民小区太阳能路灯及庭院灯安装工程项目政府采购合同,,庆阳市西峰区显胜乡人民政府,供应商名称,农业,31.5572,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2014,黄河流域泥沙成果研究修订,,黄河水利委员会移民局,黄河勘测规划设计有限公司,水利、环境和公共设施管理业,600.0,coordination,0.1,默认分类（通用政府采购）
2014,采购合同书,,腾冲出入境检验检疫局,云南金运通泰商贸有限公司,租赁和商务服务业,1.18,coordination,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2014,采购合同书,,中华人民共和国勐腊出入境检验检疫局,昆明纳瑞科技有限公司,行政监督检查机构,14.32,coordination,0.1,默认分类（通用政府采购）
2014,水旱灾害监测业务子系统和高分水利基础空间数据库建设与更新子系统开发,,水利部水利信息中心,北京吉威数源信息技术有限公司,水利、环境和公共设施管理业,226.0,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:0)"
2014,采购合同书,,腾冲出入境检验检疫局,江苏健威有害生物防治技术服务有限公司,农、林、牧、渔业,4.69,coordination,0.1,默认分类（通用政府采购）
2014,水资源监测评价和管理子系统开发,,水利部水利信息中心,北京航天宏图信息技术有限责任公司,水利、环境和公共设施管理业,210.0,extractive,0.3333333333333333,"关键词匹配(E:1,C:1,P:0)"
2014,水土保持监测与评价业务子系统开发,,水利部水利信息中心,北京地拓科技发展有限公司,水利、环境和公共设施管理业,128.4,coordination,0.1,默认分类（通用政府采购）
2014,安徽省林业有害生物防治检疫局GPS采购,,安徽省林业有害生物防治检疫局,合肥达捷测绘导航科技有限公司,农、林、牧、渔业,10.9,coordination,0.1,默认分类（通用政府采购）
2014,酒泉市S214额济纳旗至酒泉公路肃州至金塔段公路改建工程可行性研究报告编制项目,,酒泉市交通运输局,供应商名称,农业,44.8,coordination,0.75,"关键词匹配(E:0,C:3,P:0)"
2014,进口货物技术协议,,中国科学院遥感与数字地球研究所,北京欧普特科技有限公司,信息传输、软件和信息技术服务业,73.56,coordination,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2014,技术开发（委托）合同,,中国科学院遥感与数字地球研究所,航天恒星科技有限公司,信息传输、软件和信息技术服务业,2730.0,coordination,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2014,中央单位批量集中采购简易合同,,中央国家机关政府采购中心,上海震旦办公自动化销售有限公司,信息传输、软件和信息技术服务业,0.958,coordination,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2014,中央单位批量集中采购简易合同,,中央国家机关政府采购中心,北京科尔沁科贸有限责任公司,信息传输、软件和信息技术服务业,0.4316,coordination,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2014,中央单位批量集中采购简易合同,,中央国家机关政府采购中心,上海震旦办公自动化销售有限公司,信息传输、软件和信息技术服务业,0.958,coordination,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2014,安徽中医药大学图书资料采购第14包：中文图书,,安徽中医药大学,湖北三新文化传媒有限公司,农、林、牧、渔业,66.5,compliance,0.75,"关键词匹配(E:0,C:0,P:3)"
2014,近场综合测量系统,,中国科学院上海天文台,上海韦届特机电科技有限公司,制造业,75.5,coordination,0.1,默认分类（通用政府采购）
2014,安徽省本级森林防火物资储备第3包,,安徽省林业厅,合肥全创电子科技有限公司,农、林、牧、渔业,103.81,coordination,0.1,默认分类（通用政府采购）
2014,合肥滨湖新区牛角大圩农村环境连片综合整治—农村生活垃圾收集与清运工程设备采购第1包,,合肥印象包河旅游开发管理有限公司,劲旅环境科技有限公司,农、林、牧、渔业,25.041,coordination,0.4,"关键词匹配(E:0,C:2,P:2)"
2014,甘肃省第三人民医院腹腔镜等医疗设备采购项目合同书,,甘肃省第三人民医院,甘肃瑞欣医疗科技有限公司,卫生和社会工作,177.2,compliance,0.6666666666666666,"关键词匹配(E:0,C:1,P:2)"
2014,凉州区2015年旱作物农业起垄覆膜农机具采购项目,,凉州区农业技术推广中心,甘肃洮河拖拉机制造有限公司,拖拉机制造,28.664,coordination,0.1,默认分类（通用政府采购）
2014,安徽大学中外文纸质图书第1包,,安徽大学,湖北三新文化传媒有限公司,农、林、牧、渔业,43.0,compliance,0.5,"关键词匹配(E:0,C:0,P:1)"
2014,凉州区2015年吴家井高标准农田建设工程项目三包,,凉州区农业综合开发办公室,酒泉加银水电工程有限公司,提供施工设备服务,337.0929,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:0)"
2014,建发（上海）有限公司进口合同,,中国科学院上海药物研究所,Jiangweninternationaltr...,科学研究和技术服务业,,coordination,0.1,默认分类（通用政府采购）
2014,2.4米望远镜配置IFU,,中国科学院上海天文台,美国德克萨斯大学,科学研究和技术服务业,700.0,coordination,0.1,默认分类（通用政府采购）
2014,安徽大学艺术与传媒学院图书、教学设备采购第1包,,安徽大学艺术与传媒学院,安徽新华传媒股份有限公司,农、林、牧、渔业,45.0,compliance,0.5,"关键词匹配(E:0,C:1,P:2)"
2014,合肥市庐阳区和瑶海区基层医疗机构联合体药品带量采购配送企业服务第6包,,合肥市庐阳区卫生和计划生育局、合肥市瑶海区卫生局,合肥亿帆生物医药有限公司,农、林、牧、渔业,130.35,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:2)"
2014,S105合马路路面大修工程监理,,合肥市公路管理局（合肥市公路路政支队）,济南市建设监理有限公司,农、林、牧、渔业,51.0,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:0)"
2014,庐阳区2015-2017年度常用办公家具定点单位,,合肥市庐阳区财政局,合肥琥珀家具有限责任公司,农、林、牧、渔业,4.314,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:0)"
2014,甘肃省统计局甘肃省统计地理信息系统二期项目合同协议书,,甘肃省统计局,甘肃丰泽汇信息科技有限公司,信息传输、软件和信息技术服务业,242.7,coordination,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2014,合肥市轨道交通2号线火灾自动报警系统及气体灭火系统集成,,合肥城市轨道交通有限公司,太通建设有限公司,农、林、牧、渔业,7098.08,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2014,庐阳工业区荣城南苑二期绿色建筑设计,,合肥庐阳工业区建设投资有限公司,中铁合肥建筑市政工程设计研究院有限公司,农、林、牧、渔业,18.0,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2014,合肥市新站区2015支网（天网新站支网）视频监控系统工程监理,,合肥新创投资控股有限公司,合肥信息工程监理咨询有限公司,农、林、牧、渔业,52.88,coordination,0.5,"关键词匹配(E:0,C:2,P:1)"
2014,瑶海区文化艺术中心和公共卫生中心锅炉设备采购安装,,合肥市瑶海区城建投资有限公司,安阳市福士德锅炉有限责任公司,农、林、牧、渔业,57.8,coordination,0.3333333333333333,"关键词匹配(E:0,C:1,P:1)"
2014,合肥高新区创新产业园D8众创空间家具采购,,合肥高新创业园管理有限公司,合肥琥珀家具有限责任公司,农、林、牧、渔业,57.6415,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2014,合肥市重点工程建设管理局建设资金托管银行战略合作招标,,合肥市重点工程建设管理局,合肥科技农村商业银行股份有限公司,农、林、牧、渔业,0.0,coordination,0.5714285714285714,"关键词匹配(E:2,C:4,P:0)"
2014,西南出口西延工程监理,,合肥市重点工程建设管理局,上海三维工程建设咨询有限公司,农、林、牧、渔业,45.08,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:0)"
2014,兰州大学第一医院脉动压力蒸汽灭菌器、全自动快速器械清洗消毒机、超声光散射乳腺成像系统医疗设备采购项目购销合同,,兰州大学第一医院,甘肃瀚诚鑫浩商贸有限公司,卫生和社会工作,39.7,compliance,0.6666666666666666,"关键词匹配(E:0,C:1,P:2)"
2014,庆阳市卫生计生委综合监督执法局所需设备,,庆阳市卫生计生委综合监督执法局,庆阳亿洋商贸有限公司,家用电器及电子产品专门零售,12.668,compliance,0.5,"关键词匹配(E:0,C:1,P:2)"
2014,酒泉职业技术学院建设信息管理及网络考试系统采购项目,,酒泉职业技术学院,酒泉市易通联合科贸有限责任公司,其他未列明信息技术服务业,107.969,coordination,0.75,"关键词匹配(E:0,C:3,P:0)"
2014,包7：X波段测波雷达系统,,舟山市海洋环境监测预报中心,武汉浩谱海洋探测系统有限公司,海洋服务,648000.0,coordination,0.1,默认分类（通用政府采购）
2014,普陀区2014年未纳管污染源改造工程（二标段）施工总承包合同,,上海市普陀区市政管理中心,上海新杨建设工程有限公司,暂无,823.7367,coordination,0.6,"关键词匹配(E:0,C:3,P:1)"
2014,南大路（红柳路-区界）雨污水管道改造及道路大修工程施工总承包合同,,上海市普陀区市政管理中心,上海普陀市政工程有限公司,暂无,680.5868,coordination,0.8,"关键词匹配(E:0,C:4,P:0)"
2014,金沙江路（大渡河路-中山北路）大修及沿线环境整治工程施工总承包合同,,上海市普陀区市政管理中心,上海普陀市政建设养护有限公司,暂无,2664.5225,coordination,0.5,"关键词匹配(E:0,C:2,P:1)"
2014,北石路（铜川路-大渡河路）大修工程施工总承包合同,,上海市普陀区市政管理中心,上海普陀市政工程有限公司,暂无,858.0168,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:0)"
2014,普陀区环境信息化建设项目（一）,,普陀区环保局,上海长江计算机有限公司,暂无,659.5,coordination,0.5,"关键词匹配(E:0,C:2,P:1)"
2014,音响系统,,龙市中学,渝北区航广电子经营部,教育,2.6358,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2014,学生课桌凳,,龙市中学,重庆市林宝家具有限公司,教育,4.935,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2014,合阳中学推拉黑板采购合同,,合阳中学,重庆市合川区荣丰科技有限公司,普通初中教育,,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2014,合阳中学食堂设备采购合同,,合阳中学,合川区勇力酒店用品经营部,普通初中教育,,compliance,0.5,"关键词匹配(E:0,C:1,P:0)"
2014,宁夏广播电视总台传输发射中心发射机房制冷降温设备安装合同,,宁夏广播电视台传输发射中心,陕西天力地源热泵工程有限公司宁夏分公司,农、林、牧、渔业,24.145,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2014,甘肃省人民医院医疗器械政府采购项目合同,,甘肃省人民医院,兰州正和医药有限责任公司,卫生和社会工作,39.596,compliance,0.8,"关键词匹配(E:0,C:0,P:2)"
2014,机房改造合同,,九龙坡区走马镇中学,九龙坡区中梁山鸿瑜办公设备厂,普通初中教育,2.24,compliance,0.5,"关键词匹配(E:0,C:1,P:0)"
2014,专用软件开发服务采购（GXKLC20163128-B）合同,,广西壮族自治区气象技术装备中心,北京思湃德信息技术有限公司,信息传输、软件和信息技术服务业,15.5,coordination,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2014,走马中学综合楼外立面改造工程,,九龙坡区走马镇中学,重庆永顺建筑安装工程有限公司,普通初中教育,49.5,coordination,0.4,"关键词匹配(E:0,C:2,P:0)"
2014,2014学校标准化建设卫生器材设施设备,,九龙坡区走马镇中学,重庆洋洋仪器设备有限公司,普通初中教育,0.3224,compliance,0.5714285714285714,"关键词匹配(E:0,C:2,P:2)"
2014,学校办公用计算机,,九龙坡区走马镇中学,重庆拓渠科贸有限公司,普通初中教育,0.5328,compliance,0.6,"关键词匹配(E:0,C:1,P:1)"
2014,2014学校标准化建设音乐设施设备,,九龙坡区走马镇中学,重庆洋洋仪器设备有限公司,普通初中教育,0.8668,compliance,0.5,"关键词匹配(E:0,C:2,P:1)"
2014,重庆市九龙坡区走马镇中学校园公共广播系统,,九龙坡区走马镇中学,重庆力求科技有限公司,普通初中教育,4.3,compliance,0.75,"关键词匹配(E:0,C:0,P:1)"
2014,2014学校标准化建设体育设施设备,,九龙坡区走马镇中学,重庆洋洋仪器设备有限公司,普通初中教育,0.081,compliance,0.5714285714285714,"关键词匹配(E:0,C:2,P:2)"
2014,学校办公用空调,,九龙坡区走马镇中学,重庆大方电器有限公司,普通初中教育,0.3225,compliance,0.6,"关键词匹配(E:0,C:1,P:1)"
2014,学校办公用数字相机,,九龙坡区走马镇中学,重庆灵丹科技有限公司,普通初中教育,0.145,compliance,0.6,"关键词匹配(E:0,C:1,P:1)"
2014,学校文件柜,,九龙坡区走马镇中学,九龙坡区中梁山鸿瑜办公设备厂,普通初中教育,0.438,compliance,0.75,"关键词匹配(E:0,C:0,P:1)"
2014,2014学校标准化建设美术设施设备,,九龙坡区走马镇中学,重庆洋洋仪器设备有限公司,普通初中教育,0.7687,compliance,0.5,"关键词匹配(E:0,C:2,P:1)"
2014,学校办公计算机,,九龙坡区走马镇中学,重庆拓渠科贸有限公司,普通初中教育,0.48684,compliance,0.6,"关键词匹配(E:0,C:1,P:1)"
2014,2014学校标准化建纸质图书,,九龙坡区走马镇中学,重庆瀚然文化传播有限公司,普通初中教育,2.7626,compliance,0.8,"关键词匹配(E:0,C:0,P:2)"
2014,学校教学用计算机,,九龙坡区走马镇中学,重庆拓渠科贸有限公司,普通初中教育,0.331,compliance,0.8,"关键词匹配(E:0,C:0,P:2)"
2014,2014学校标准化建设科技器材设施设备,,九龙坡区走马镇中学,重庆洋洋仪器设备有限公司,普通初中教育,4.1191,compliance,0.5,"关键词匹配(E:0,C:2,P:1)"
2014,2014学校标准化建设劳技器材设施设备,,九龙坡区走马镇中学,重庆洋洋仪器设备有限公司,普通初中教育,4.2491,compliance,0.5,"关键词匹配(E:0,C:2,P:1)"
2014,理科仪器设备,,九龙坡区走马镇中学,重庆洋洋仪器设备有限公司,普通初中教育,0.7251,compliance,0.5,"关键词匹配(E:0,C:1,P:0)"
2014,学校教学用电脑,,九龙坡区走马镇中学,重庆骏派商贸有限公司,普通初中教育,7.96,compliance,0.8,"关键词匹配(E:0,C:0,P:2)"
2014,重庆工商大学综合实训与文献信息中心相关项目全过程跟踪审计合同,,重庆工商大学,重庆市淇澳工程造价咨询有限公司,普通高等教育,12.0,compliance,0.6,"关键词匹配(E:1,C:0,P:1)"
2014,https://www.gec123.com,,九龙坡区走马镇中学,重庆大方电器有限公司,普通初中教育,0.72,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2014,凉州区西营镇人民政府杂沟村后续产业基地建设项目,,凉州区西营镇人民政府,武威浩源园林绿化工程也是责任公司分公司,林木育苗,16.488,coordination,0.3333333333333333,"关键词匹配(E:0,C:1,P:1)"
2014,兰州财经大学图书馆外文期刊采购项目供货合同,,兰州财经大学,中国教育图书进出口有限公司,批发和零售业,39.7,compliance,0.5,"关键词匹配(E:0,C:0,P:1)"
2014,趸船建造合同,,厦门航标处,上海江南造船厂,社会保障,542.6683,coordination,0.1,默认分类（通用政府采购）
2014,东海航海保障中心厦门航标处海巡1630轮发电机组及配电系统改造工程项目合同,,交通运输部东海航海保障中心厦门航标处,上海振远船务有限公司,社会保障,219.6679,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:0)"
